Topic,group,model,ChiSq,ChiSqDF,ChiSqP,CFI,RMSEA,var,scale,CFI_dif,sig_CFI,sig_grp
action,Length,config,50.525,5,0,0.987,0.091,v98,3,NA,NA,FALSE
action,Length,metric,38.641,8,0,0.991,0.059,v98,3,0.0040000000000000036,FALSE,FALSE
action,Length,scalar,35.401,11,2e-4,0.993,0.045,v98,3,0.0020000000000000018,FALSE,FALSE
action,Mode design,config,43.762,5,0,0.989,0.085,v98,3,NA,NA,FALSE
action,Mode design,metric,41.957,8,0,0.99,0.063,v98,3,0.0010000000000000009,FALSE,FALSE
action,Mode design,scalar,59.391,11,0,0.986,0.064,v98,3,-0.0040000000000000036,FALSE,FALSE
belong,Length,config,291.184,6,0,0.923,0.204,v164,4,NA,NA,FALSE
belong,Length,metric,242.26,9,0,0.937,0.151,v164,4,0.014000000000000012,FALSE,FALSE
belong,Length,scalar,222.152,15,0,0.944,0.11,v164,4,0.006999999999999895,FALSE,FALSE
belong,Mode design,config,296.645,6,0,0.924,0.212,v164,4,NA,NA,FALSE
belong,Mode design,metric,253.58,9,0,0.936,0.159,v164,4,0.01200000000000001,FALSE,FALSE
belong,Mode design,scalar,252.397,15,0,0.938,0.121,v164,4,0.0019999999999998908,FALSE,FALSE
childhood,Length,config,345.689,20,0,0.912,0.121,v267,4,NA,NA,FALSE
childhood,Length,metric,317.296,25,0,0.921,0.103,v267,4,0.009000000000000008,FALSE,FALSE
childhood,Length,scalar,281.012,35,0,0.934,0.08,v267,4,0.013000000000000012,FALSE,FALSE
childhood,Mode design,config,374.765,20,0,0.91,0.13,v267,4,NA,NA,FALSE
childhood,Mode design,metric,345.488,25,0,0.919,0.11,v267,4,0.009000000000000008,FALSE,FALSE
childhood,Mode design,scalar,312.358,35,0,0.93,0.087,v267,4,0.01100000000000001,FALSE,FALSE
concern,Length,config,11.794,6,0.0667,0.997,0.029,v212,5,NA,NA,FALSE
concern,Length,metric,16.171,10,0.0949,0.997,0.023,v212,5,0,FALSE,FALSE
concern,Length,scalar,34.795,15,0.0026,0.989,0.034,v212,5,-0.008000000000000007,FALSE,FALSE
concern,Mode design,config,3.339,6,0.7652,1,0,v212,5,NA,NA,FALSE
concern,Mode design,metric,7.437,10,0.6837,1,0,v212,5,0,FALSE,FALSE
concern,Mode design,scalar,13.865,15,0.5358,1,0,v212,5,0,FALSE,FALSE
concern_grp,Length,config,0,0,0,1,0,v217,5,NA,NA,FALSE
concern_grp,Length,metric,7.022,2,0.0299,0.996,0.047,v217,5,-0.0040000000000000036,FALSE,FALSE
concern_grp,Length,scalar,13.057,5,0.0228,0.993,0.038,v217,5,-0.0030000000000000027,FALSE,FALSE
concern_grp,Mode design,config,0,0,0,1,0,v217,5,NA,NA,FALSE
concern_grp,Mode design,metric,7.727,2,0.021,0.996,0.052,v217,5,-0.0040000000000000036,FALSE,TRUE
concern_grp,Mode design,scalar,24.365,5,2e-4,0.985,0.06,v217,5,-0.01100000000000001,TRUE,FALSE
democracy1,Length,config,58.745,10,0,0.933,0.067,v133,10,NA,NA,FALSE
democracy1,Length,metric,60.56,14,0,0.936,0.055,v133,10,0.0030000000000000027,FALSE,TRUE
democracy1,Length,scalar,83.273,19,0,0.912,0.055,v133,10,-0.02400000000000002,TRUE,FALSE
democracy1,Mode design,config,50.826,10,0,0.932,0.062,v133,10,NA,NA,FALSE
democracy1,Mode design,metric,54.312,14,0,0.933,0.052,v133,10,0.0010000000000000009,FALSE,TRUE
democracy1,Mode design,scalar,94.865,19,0,0.874,0.061,v133,10,-0.05900000000000005,TRUE,FALSE
democracy2,Length,config,7.496,4,0.1119,0.989,0.028,v134,10,NA,NA,FALSE
democracy2,Length,metric,7.756,7,0.3546,0.998,0.01,v134,10,0.009000000000000008,FALSE,FALSE
democracy2,Length,scalar,14.352,11,0.2141,0.989,0.017,v134,10,-0.009000000000000008,FALSE,FALSE
democracy2,Mode design,config,12.788,4,0.0124,0.972,0.045,v134,10,NA,NA,FALSE
democracy2,Mode design,metric,13.416,7,0.0626,0.98,0.029,v134,10,0.008000000000000007,FALSE,TRUE
democracy2,Mode design,scalar,27.896,11,0.0034,0.946,0.038,v134,10,-0.03400000000000003,TRUE,FALSE
elections,Length,config,467.036,42,0,0.945,0.098,v176,4,NA,NA,FALSE
elections,Length,metric,417.454,49,0,0.953,0.084,v176,4,0.008000000000000007,FALSE,FALSE
elections,Length,scalar,384.077,63,0,0.959,0.069,v176,4,0.006000000000000005,FALSE,FALSE
elections,Mode design,config,498.808,42,0,0.921,0.102,v176,4,NA,NA,FALSE
elections,Mode design,metric,454.222,49,0,0.93,0.089,v176,4,0.009000000000000008,FALSE,FALSE
elections,Mode design,scalar,436.669,63,0,0.935,0.075,v176,4,0.0050000000000000044,FALSE,FALSE
environment,Length,config,41.247,10,0,0.97,0.053,v199,5,NA,NA,FALSE
environment,Length,metric,41.749,14,1e-4,0.973,0.042,v199,5,0.0030000000000000027,FALSE,FALSE
environment,Length,scalar,46.119,19,5e-4,0.974,0.036,v199,5,0.0010000000000000009,FALSE,FALSE
environment,Mode design,config,52.992,10,0,0.955,0.063,v199,5,NA,NA,FALSE
environment,Mode design,metric,58.794,14,0,0.953,0.054,v199,5,-0.0020000000000000018,FALSE,TRUE
environment,Mode design,scalar,75.867,19,0,0.941,0.053,v199,5,-0.01200000000000001,TRUE,FALSE
european,Length,config,36.27,6,0,0.996,0.067,v194,4,NA,NA,FALSE
european,Length,metric,35.541,9,0,0.997,0.051,v194,4,0.0010000000000000009,FALSE,FALSE
european,Length,scalar,35.736,15,0.0019,0.997,0.035,v194,4,0,FALSE,FALSE
european,Mode design,config,70.36,6,0,0.993,0.1,v194,4,NA,NA,FALSE
european,Mode design,metric,82.307,9,0,0.992,0.087,v194,4,-0.0010000000000000009,FALSE,FALSE
european,Mode design,scalar,98.907,15,0,0.991,0.072,v194,4,-0.0010000000000000009,FALSE,FALSE
immigration,Length,config,6.964,4,0.1378,0.998,0.026,v185,10,NA,NA,FALSE
immigration,Length,metric,9.441,7,0.2225,0.998,0.018,v185,10,0,FALSE,FALSE
immigration,Length,scalar,17.066,11,0.1059,0.996,0.022,v185,10,-0.0020000000000000018,FALSE,FALSE
immigration,Mode design,config,7.175,4,0.1269,0.997,0.027,v185,10,NA,NA,FALSE
immigration,Mode design,metric,8.803,7,0.2671,0.998,0.015,v185,10,0.0010000000000000009,FALSE,FALSE
immigration,Mode design,scalar,18.934,11,0.0623,0.993,0.026,v185,10,-0.0050000000000000044,FALSE,FALSE
marriage,Length,config,146.964,19,0,0.948,0.077,v65,3,NA,NA,FALSE
marriage,Length,metric,144.99,24,0,0.951,0.066,v65,3,0.0030000000000000027,FALSE,FALSE
marriage,Length,scalar,134.535,29,0,0.957,0.056,v65,3,0.006000000000000005,FALSE,FALSE
marriage,Mode design,config,90.417,19,0,0.979,0.059,v65,3,NA,NA,FALSE
marriage,Mode design,metric,86.087,24,0,0.981,0.049,v65,3,0.0020000000000000018,FALSE,FALSE
marriage,Mode design,scalar,84.535,29,0,0.983,0.042,v65,3,0.0020000000000000018,FALSE,FALSE
national,Length,config,61.115,6,0,0.988,0.089,v189,4,NA,NA,FALSE
national,Length,metric,62.711,9,0,0.988,0.072,v189,4,0,FALSE,FALSE
national,Length,scalar,63.128,15,0,0.99,0.053,v189,4,0.0020000000000000018,FALSE,FALSE
national,Mode design,config,65.509,6,0,0.984,0.096,v189,4,NA,NA,FALSE
national,Mode design,metric,72.121,9,0,0.983,0.081,v189,4,-0.0010000000000000009,FALSE,FALSE
national,Mode design,scalar,72.454,15,0,0.985,0.06,v189,4,0.0020000000000000018,FALSE,FALSE
norms1,Length,config,44.647,10,0,0.927,0.055,v149,10,NA,NA,FALSE
norms1,Length,metric,51.305,14,0,0.921,0.048,v149,10,-0.006000000000000005,FALSE,TRUE
norms1,Length,scalar,65.291,19,0,0.902,0.046,v149,10,-0.019000000000000017,TRUE,FALSE
